algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second
glove,15.689678430557251,1415,45163,2925.5667911541595
glove,14.640236377716064,72,45086,3083.252121618706
glove,14.715184211730957,29,45104,3067.204680260746
glove,14.923171281814575,873,45355,3071.064979859807
glove,15.227868795394897,2089,45127,3036.3126694172925
glove,14.756716251373291,909,45088,3089.2462591976255
glove,14.861681461334229,1100,45401,3095.707044498514
glove,14.632696151733398,9,45194,3089.95062736272
glove,14.787555694580078,777,45231,3087.6764772052043
glove,14.649698734283447,152,44856,3068.415353458967
